City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,298.35,78,5,4.61,PN,1682458290
1,isafjordur,66.0755,-23.124,272.08,58,7,2.83,IS,1682458184
2,puerto ayora,-0.7393,-90.3518,302.13,88,31,2.68,EC,1682458291
3,remire-montjoly,4.9167,-52.2667,299.17,89,75,1.54,GF,1682458202
4,longyearbyen,78.2186,15.6401,266.06,79,0,1.54,SJ,1682458292
5,lerwick,60.1545,-1.1494,275.15,68,79,8.9,GB,1682458292
6,pechora,65.1472,57.2244,264.81,98,38,1.22,RU,1682458293
7,papatowai,-46.5619,169.4708,282.94,72,89,7.37,NZ,1682458293
8,punta arenas,-53.15,-70.9167,281.21,61,75,7.72,CL,1682458168
9,callao,-12.0667,-77.15,299.31,69,0,6.17,PE,1682458143
10,albany,42.6001,-73.9662,285.07,50,99,1.87,US,1682458268
11,crane,31.3974,-102.3501,302.24,15,0,3.82,US,1682458296
12,vorgashor,67.5833,63.95,260.22,99,64,3.67,RU,1682458296
13,puerto natales,-51.7236,-72.4875,282.4,49,20,7.72,CL,1682458178
14,waitangi,-43.9535,-176.5597,284.72,92,100,0.89,NZ,1682458297
15,ushuaia,-54.8,-68.3,278.96,70,75,1.03,AR,1682458297
16,edinburgh of the seven seas,-37.0676,-12.3116,288.1,65,85,12.16,SH,1682458299
17,bethel,41.3712,-73.414,287.6,45,100,3.09,US,1682458300
18,ciudad lazaro cardenas,17.9583,-102.2,301.85,57,4,6.07,MX,1682458301
19,susuman,62.7833,148.1667,265.85,92,97,1.09,RU,1682458302
20,kone,-21.0595,164.8658,298.14,79,100,1.36,NC,1682458303
21,dudinka,69.4058,86.1778,272.94,98,100,3.43,RU,1682458303
22,blackmans bay,-43.0167,147.3167,286.22,79,0,2.18,AU,1682458303
23,olonkinbyen,70.9221,-8.7187,269.46,69,99,4.98,SJ,1682458304
24,okhotsk,59.3833,143.3,272.47,96,100,2.88,RU,1682458304
25,xining,36.6167,101.7667,279.77,25,1,0.69,CN,1682458305
26,st. john's,47.5649,-52.7093,275.81,96,100,8.94,CA,1682458156
27,hermanus,-34.4187,19.2345,288.48,80,31,2.77,ZA,1682458305
28,mo i rana,66.3128,14.1428,273.89,88,100,1.54,NO,1682458287
29,tura,25.5198,90.2201,295.87,44,57,1.0,IN,1682458306
30,grytviken,-54.2811,-36.5092,278.08,92,82,5.51,GS,1682458306
31,chetwayi,10.5333,76.05,297.78,82,100,1.97,IN,1682458307
32,arica,-18.475,-70.3042,296.9,68,0,4.63,CL,1682458281
33,sirte,31.2089,16.5887,294.25,37,0,4.32,LY,1682458307
34,saipan,15.1355,145.701,300.73,100,20,7.72,MP,1682458308
35,codrington,-38.2667,141.9667,288.31,70,50,3.67,AU,1682458308
36,port-aux-francais,-49.35,70.2167,277.84,82,10,12.86,TF,1682458308
37,yellowknife,62.456,-114.3525,279.44,52,75,5.14,CA,1682458309
38,tiksi,71.6872,128.8694,257.27,100,100,1.16,RU,1682458190
39,margaret river,-33.95,115.0667,289.02,74,100,8.46,AU,1682458201
40,lebu,-37.6167,-73.65,287.15,82,100,3.34,CL,1682458230
41,vilyuchinsk,52.9306,158.4028,277.3,79,61,3.51,RU,1682458180
42,new norfolk,-42.7826,147.0587,286.87,70,0,1.36,AU,1682458311
