City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Humidity Category,Cloudiness Category,Wind Category
0,adamstown,-25.066,-130.1015,25.200000000000045,78,5,4.61,PN,1682458290,Uncomfortable,Sunny/Clear,Gentle breeze
1,isafjordur,66.0755,-23.124,-1.0699999999999932,58,7,2.83,IS,1682458184,Uncomfortable,Sunny/Clear,Light breeze
2,puerto ayora,-0.7393,-90.3518,28.980000000000018,88,31,2.68,EC,1682458291,Uncomfortable,Partly cloudy,Light breeze
3,remire-montjoly,4.9167,-52.2667,26.02000000000004,89,75,1.54,GF,1682458202,Uncomfortable,Mostly cloudy,Light breeze
4,longyearbyen,78.2186,15.6401,-7.089999999999975,79,0,1.54,SJ,1682458292,Uncomfortable,Sunny/Clear,Light breeze
5,lerwick,60.1545,-1.1494,2.0,68,79,8.9,GB,1682458292,Uncomfortable,Mostly cloudy,Fresh breeze
6,pechora,65.1472,57.2244,-8.339999999999975,98,38,1.22,RU,1682458293,Uncomfortable,Partly cloudy,Light air
7,papatowai,-46.5619,169.4708,9.79000000000002,72,89,7.37,NZ,1682458293,Uncomfortable,Mostly cloudy,Moderate breeze
8,punta arenas,-53.15,-70.9167,8.060000000000002,61,75,7.72,CL,1682458168,Uncomfortable,Mostly cloudy,Moderate breeze
9,callao,-12.0667,-77.15,26.160000000000025,69,0,6.17,PE,1682458143,Uncomfortable,Sunny/Clear,Moderate breeze
10,albany,42.6001,-73.9662,11.920000000000016,50,99,1.87,US,1682458268,Comfortable,Overcast,Light breeze
11,crane,31.3974,-102.3501,29.090000000000032,15,0,3.82,US,1682458296,Comfortable,Sunny/Clear,Gentle breeze
12,vorgashor,67.5833,63.95,-12.92999999999995,99,64,3.67,RU,1682458296,Uncomfortable,Partly sunny,Gentle breeze
13,puerto natales,-51.7236,-72.4875,9.25,49,20,7.72,CL,1682458178,Comfortable,Fair,Moderate breeze
14,waitangi,-43.9535,-176.5597,11.57000000000005,92,100,0.89,NZ,1682458297,Uncomfortable,Overcast,Light air
15,ushuaia,-54.8,-68.3,5.810000000000002,70,75,1.03,AR,1682458297,Uncomfortable,Mostly cloudy,Light air
16,edinburgh of the seven seas,-37.0676,-12.3116,14.950000000000045,65,85,12.16,SH,1682458299,Uncomfortable,Mostly cloudy,Strong breeze
17,bethel,41.3712,-73.414,14.450000000000045,45,100,3.09,US,1682458300,Comfortable,Overcast,Gentle breeze
18,ciudad lazaro cardenas,17.9583,-102.2,28.700000000000045,57,4,6.07,MX,1682458301,Uncomfortable,Sunny/Clear,Moderate breeze
19,susuman,62.7833,148.1667,-7.2999999999999545,92,97,1.09,RU,1682458302,Uncomfortable,Overcast,Light air
20,kone,-21.0595,164.8658,24.99000000000001,79,100,1.36,NC,1682458303,Uncomfortable,Overcast,Light air
21,dudinka,69.4058,86.1778,-0.20999999999997954,98,100,3.43,RU,1682458303,Uncomfortable,Overcast,Gentle breeze
22,blackmans bay,-43.0167,147.3167,13.07000000000005,79,0,2.18,AU,1682458303,Uncomfortable,Sunny/Clear,Light breeze
23,olonkinbyen,70.9221,-8.7187,-3.6899999999999977,69,99,4.98,SJ,1682458304,Uncomfortable,Overcast,Gentle breeze
24,okhotsk,59.3833,143.3,-0.67999999999995,96,100,2.88,RU,1682458304,Uncomfortable,Overcast,Light breeze
25,xining,36.6167,101.7667,6.6200000000000045,25,1,0.69,CN,1682458305,Comfortable,Sunny/Clear,Light air
26,st. john's,47.5649,-52.7093,2.660000000000025,96,100,8.94,CA,1682458156,Uncomfortable,Overcast,Fresh breeze
27,hermanus,-34.4187,19.2345,15.330000000000041,80,31,2.77,ZA,1682458305,Uncomfortable,Partly cloudy,Light breeze
28,mo i rana,66.3128,14.1428,0.7400000000000091,88,100,1.54,NO,1682458287,Uncomfortable,Overcast,Light breeze
29,tura,25.5198,90.2201,22.720000000000027,44,57,1.0,IN,1682458306,Comfortable,Partly cloudy,Light air
30,grytviken,-54.2811,-36.5092,4.930000000000007,92,82,5.51,GS,1682458306,Uncomfortable,Mostly cloudy,Moderate breeze
31,chetwayi,10.5333,76.05,24.629999999999995,82,100,1.97,IN,1682458307,Uncomfortable,Overcast,Light breeze
32,arica,-18.475,-70.3042,23.75,68,0,4.63,CL,1682458281,Uncomfortable,Sunny/Clear,Gentle breeze
33,sirte,31.2089,16.5887,21.100000000000023,37,0,4.32,LY,1682458307,Comfortable,Sunny/Clear,Gentle breeze
34,saipan,15.1355,145.701,27.58000000000004,100,20,7.72,MP,1682458308,Uncomfortable,Fair,Moderate breeze
35,codrington,-38.2667,141.9667,15.160000000000025,70,50,3.67,AU,1682458308,Uncomfortable,Partly cloudy,Gentle breeze
36,port-aux-francais,-49.35,70.2167,4.689999999999998,82,10,12.86,TF,1682458308,Uncomfortable,Sunny/Clear,Strong breeze
37,yellowknife,62.456,-114.3525,6.2900000000000205,52,75,5.14,CA,1682458309,Comfortable,Mostly cloudy,Moderate breeze
38,tiksi,71.6872,128.8694,-15.879999999999995,100,100,1.16,RU,1682458190,Uncomfortable,Overcast,Light air
39,margaret river,-33.95,115.0667,15.870000000000005,74,100,8.46,AU,1682458201,Uncomfortable,Overcast,Fresh breeze
40,lebu,-37.6167,-73.65,14.0,82,100,3.34,CL,1682458230,Uncomfortable,Overcast,Gentle breeze
41,vilyuchinsk,52.9306,158.4028,4.150000000000034,79,61,3.51,RU,1682458180,Uncomfortable,Partly sunny,Gentle breeze
42,new norfolk,-42.7826,147.0587,13.720000000000027,70,0,1.36,AU,1682458311,Uncomfortable,Sunny/Clear,Light air
43,panadura,6.7132,79.9026,26.170000000000016,86,100,1.59,LK,1682458312,Uncomfortable,Overcast,Light breeze
44,carnarvon,-24.8667,113.6333,16.660000000000025,66,0,6.85,AU,1682458312,Uncomfortable,Sunny/Clear,Moderate breeze
45,mingora,34.7758,72.3625,16.810000000000002,54,76,3.0,PK,1682458313,Comfortable,Mostly cloudy,Light breeze
46,coquimbo,-29.9533,-71.3436,14.850000000000023,88,75,4.12,CL,1682458191,Uncomfortable,Mostly cloudy,Gentle breeze
47,thompson,55.7435,-97.8558,9.090000000000032,29,20,2.57,CA,1682458313,Comfortable,Fair,Light breeze
48,spring creek,40.7266,-115.5859,12.939999999999998,35,3,2.03,US,1682458314,Comfortable,Sunny/Clear,Light breeze
49,kristiansund,63.1115,7.732,1.3600000000000136,93,75,2.06,NO,1682458314,Uncomfortable,Mostly cloudy,Light breeze
50,fale old settlement,-9.3852,-171.2468,29.100000000000023,73,74,5.95,TK,1682458314,Uncomfortable,Mostly cloudy,Moderate breeze
51,cooma,-36.2333,149.1333,9.75,71,61,0.68,AU,1682458315,Uncomfortable,Partly sunny,Light air
52,mahina,-17.5065,-149.489,27.870000000000005,78,75,4.12,PF,1682458046,Uncomfortable,Mostly cloudy,Gentle breeze
53,arac,41.2422,33.3277,9.770000000000039,62,56,1.53,TR,1682458315,Uncomfortable,Partly cloudy,Light breeze
54,cannonvale,-20.2833,148.7,20.660000000000025,78,63,7.28,AU,1682458315,Uncomfortable,Partly sunny,Moderate breeze
55,petropavlovsk-kamchatsky,53.0452,158.6483,3.330000000000041,56,75,1.0,RU,1682458226,Uncomfortable,Mostly cloudy,Light air
56,udachny,66.4167,112.4,-8.229999999999961,95,100,3.07,RU,1682458316,Uncomfortable,Overcast,Gentle breeze
57,kisangani,0.5167,25.2,20.810000000000002,98,87,1.32,CD,1682458317,Uncomfortable,Mostly cloudy,Light air
58,queenstown,-31.8976,26.8753,14.210000000000036,88,61,1.15,ZA,1682458317,Uncomfortable,Partly sunny,Light air
59,nyurba,63.2842,118.3319,-5.009999999999991,96,100,0.12,RU,1682458318,Uncomfortable,Overcast,Calm
60,enewetak,11.3474,162.3373,26.75,82,99,7.89,MH,1682458318,Uncomfortable,Overcast,Moderate breeze
61,geraldton,-28.7667,114.6,16.230000000000018,67,75,3.6,AU,1682458184,Uncomfortable,Mostly cloudy,Gentle breeze
